"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.68732001946549","5.07531587778247","7.39775723857248","4.46600879020911","1.82499000522881","2.06166139748325","2.69256576798382","2.88472872581968","3.88187207327924","4.54795952850572","","",
"Angola","AGO","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.1210281560325","18.58323397735","12.1615669758914","11.7178851823919","19.0185801448993","12.3238964287176","21.8898428935451","22.2322675406157","27.5521998419139","19.1553548307165","19.5273439849534","30.4906254909108","32.0343986284339","23.3828840688171","24.8140472509074","26.67029860774","19.4687086787897","16.039090696944","",
"Albania","ALB","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.7023525519355","63.9498173507112","51.2501685313219","49.3373135415131","","","","35.5599815330005","36.9070221871045","51.2224268184449","","","","","","","45.4069889475682","45.6289350939205","46.5289571591723","48.2075073362226","46.9855750400825","51.9792035220992","",
"Andorra","AND","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.157486097996","34.9415378493703","30.847532318347","32.0918519148213","38.3811674575496","","","","","","",
"United Arab Emirates","ARE","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3550905947129","22.5292298579574","25.5598582955613","23.8496329911113","21.1020202179212","21.2041851263834","",
"Argentina","ARG","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.7597133422328","55.6313083973834","63.3071360737013","67.9574743984866","68.4290652388127","66.6754114416636","66.4858381993071","64.5901229233236","64.2134273864804","62.020719494778","60.6705309606875","58.8741488329511","43.4328506232634","44.554503559377","50.0972327851389","","","","","","","","","","66.1069807563342","65.4836002961466","63.7680407913133","",
"Armenia","ARM","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.152982647896","36.4787299848388","37.2038664577498","34.8949012420339","43.2036325216861","37.3657557959751","38.9762304322905","35.9958366985256","37.1509682135502","","40.9483948233817","37.2763177987999","46.0949296237076","",
"American Samoa","ASM","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1057601708578","10.7901444350042","11.4766375625616","14.8529062918394","15.0016525444405","19.5684508338591","28.0071466416778","25.148360326315","23.2699204230651","28.7050327559663","30.3920875279012","34.6708842579316","30.365678930623","29.9624577522747","27.4379506171035","","","",
"Australia","AUS","Subsidies and other transfers (% of expense)","GC.XPN.TRFT.ZS","","","","","","","","","","","","","","","2.82140248356465","2.09776370472986","1.87214611872146","1.76025347650062","2.19105706848996","2.9346976479784","2.95688668447158","3.34011198707413","3.20044918585065","3.14190165558813","2.98755480130109","3.07096483897924","2.82142699942779","2.39483520217465","2.50961318088059","2.17995324300175","62.8515443599995","65.1506017835242","66.1603905834582","67.2914469117104","66.5445321307779","64.1310824230387","66.1499861465998","67.204207762023","70.7642359232263","65.6256768730925","66.0240025622829","67.8402177479653","68.6399550796134","68.9929593108044","70.4662088904951","70.419723004814","69.6542106405382","68.8773766008362","69.2665399173222","71.3392126229808","69.3537662666624","69.088213693858","67.4284780204484","67.3256051257114","67.7701186659489","67.7024267497301","67.3993738169677","",
